Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Klaten;ID3310;2019;110.6646;-7.6579;12.28;8.31;12074;75.29;76.68;8.70;92.57;100.00; 3.54 ; 69.10 ;27805994
Sukoharjo;ID3311;2019;110.8553;-7.6484;7.14;9.1;11557;76.84;77.55;9.54;95.49;98.55; 3.39 ; 68.50 ;27076443
Wonogiri;ID3312;2019;111.046;-7.8846;10.25;7.04;9426;69.98;76.07;7.55;91.94;98.54; 2.55 ; 69.86 ;20856209
Karanganyar;ID3313;2019;111.046;-7.6387;9.55;8.52;11569;75.89;77.38;8.87;94.24;97.34; 3.12 ; 70.19 ;26599744
Sragen;ID3314;2019;111.0092;-7.4303;12.79;7.34;12720;73.43;75.62;7.85;89.88;95.57; 3.32 ; 67.71 ;26853059
Grobogan;ID3315;2019;110.9507;-7.1542;11.77;6.86;10350;69.86;74.61;7.43;86.72;70.04; 3.54 ; 69.25 ;19692631
Blora;ID3316;2019;111.3799;-7.0122;11.32;6.58;9795;68.65;74.23;7.09;83.99;92.24; 3.82 ; 68.54 ;18318415
Rembang;ID3317;2019;111.4276;-6.8082;14.95;7.15;10551;70.15;74.43;7.69;90.26;96.60; 3.60 ; 66.26 ;13612335
Pati;ID3318;2019;111.046;-6.745;9.46;7.19;10660;71.35;76.04;7.71;90.85;97.06; 3.64 ; 66.08 ;30885379
Kudus;ID3319;2019;110.8791;-6.7726;6.68;8.63;11318;74.94;76.5;8.95;88.13;97.26; 3.80 ; 72.05 ;73241777
Jepara;ID3320;2019;110.6787;-6.5827;6.66;7.44;10609;71.88;75.74;7.99;64.47;93.16; 2.92 ; 68.43 ;21384283
Demak;ID3321;2019;110.6646;-6.9239;11.86;7.55;10344;71.87;75.31;8.20;87.06;94.80; 5.42 ; 67.72 ;18417010
Semarang;ID3322;2019;110.4739;-7.1765;7.04;8.01;12116;74.14;75.63;8.48;87.54;98.26; 2.54 ; 74.69 ;35638962
Temanggung;ID3323;2019;110.0892;-7.2749;9.42;7.15;9489;69.56;75.48;7.57;64.13;91.10; 2.98 ; 76.23 ;15214059
Kendal;ID3324;2019;110.1879;-7.0265;9.41;7.25;11597;71.97;74.33;7.96;86.97;97.58; 6.26 ; 67.91 ;30916386
Batang;ID3325;2019;109.9021;-7.0392;8.35;6.63;9573;68.42;74.59;7.29;65.04;97.92; 4.11 ; 68.75 ;15226787
Pekalongan;ID3326;2019;109.6163;-7.0517;9.71;6.88;10508;69.71;73.57;7.44;75.54;91.53; 4.35 ; 71.15 ;16356351
Pemalang;ID3327;2019;109.4259;-7.0599;15.41;6.41;8546;66.32;73.22;7.04;75.61;95.60; 6.45 ; 66.27 ;18267200
Tegal;ID3328;2019;109.1048;-6.8588;7.64;6.86;9798;68.24;71.4;7.55;83.79;97.68; 8.12 ; 66.50 ;24861496
Brebes;ID3329;2019;108.9027;-6.9592;16.22;6.2;10238;66.12;69.04;6.69;71.75;95.38; 7.39 ; 66.08 ;32847863
