Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Kota Semarang;ID3374;2020;110.4381;-7.0051;4.34;10.53;15243;83.05;77.34;10.69;93.96;98.90; 9.57 ; 69.89 ;137609712
Kota Pekalongan;ID3375;2020;109.6746;-6.8898;7.17;8.96;12467;74.98;74.38;9.22;88.49;99.90; 7.02 ; 66.45 ;7337834
Kota Tegal;ID3376;2020;109.1256;-6.8797;7.8;8.51;12999;75.07;74.46;9.07;91.19;99.89; 8.40 ; 64.57 ;10949122
Kulon Progo;ID3401;2020;110.1641;-7.8267;18.01;8.86;10041;74.46;75.24;9.35;95.06;92.56; 3.71 ; 77.88 ;8414316
Bantul;ID3402;2020;110.3785;-7.919;13.5;9.55;15517;80.01;73.86;9.72;97.96;97.65; 4.06 ; 74.45 ;18837869
Gunung Kidul;ID3403;2020;110.6169;-8.0305;17.07;7.21;9486;69.98;74.12;7.61;95.80;94.50; 2.16 ; 65.30 ;13511289
Sleman;ID3404;2020;110.4024;-7.7325;8.12;10.91;15926;83.84;74.81;11.16;97.55;95.20; 5.09 ; 70.51 ;33901796
Kota Yogyakarta;ID3471;2020;110.3695;-7.7956;7.27;11.46;18678;86.61;74.65;11.63;96.49;99.75; 9.16 ; 68.62 ;27014491
Pacitan;ID3501;2020;111.1414;-8.1263;14.54;7.6;8796;68.39;71.94;8.07;69.90;84.43; 2.28 ; 80.36 ;10837866
Ponorogo;ID3502;2020;111.4696;-7.8651;9.95;7.54;9670;70.81;72.77;8.01;84.97;91.15; 4.45 ; 71.51 ;14168621
Trenggalek;ID3503;2020;111.6184;-8.1824;11.62;7.55;9630;69.74;73.75;8.00;76.81;80.64; 4.11 ; 75.72 ;12502385
Tulungagung;ID3504;2020;111.9642;-8.0912;7.33;8.33;10705;73;74.08;8.70;89.45;96.75; 4.61 ; 73.17 ;26455765
Blitar;ID3505;2020;112.1609;-8.0955;9.33;7.39;10654;70.58;73.52;7.90;80.36;95.35; 3.82 ; 70.83 ;24945465
Kediri;ID3506;2020;112.1907;-7.8232;11.4;8.02;11000;72.05;72.61;8.38;83.59;98.89; 5.24 ; 70.65 ;28490953
Malang;ID3507;2020;112.7152;-8.2422;10.15;7.42;10028;70.36;72.55;7.95;80.99;95.48; 5.49 ; 71.62 ;66545473
Lumajang;ID3508;2020;113.1442;-8.0944;9.83;6.4;9088;65.46;70.1;7.23;84.53;95.89; 3.36 ; 66.92 ;21933792
Jember;ID3509;2020;113.6681;-8.1845;10.09;6.48;9294;67.11;69.15;7.25;65.83;90.49; 5.12 ; 68.04 ;52586558
Banyuwangi;ID3510;2020;114.3691;-8.2191;8.06;7.16;12140;70.62;70.65;7.64;77.44;91.62; 5.34 ; 71.80 ;53295106
Bondowoso;ID3511;2020;113.9061;-7.9674;14.17;5.93;10610;66.43;66.74;6.63;44.07;91.75; 4.13 ; 75.09 ;13451771
Situbondo;ID3512;2020;114.1915;-7.7889;12.22;6.46;9857;67.38;69.13;7.36;55.29;96.18; 3.85 ; 73.17 ;13282837
Probolinggo;ID3513;2020;113.4776;-7.8718;18.61;6.11;10859;66.07;67.2;6.87;59.76;92.16; 4.86 ; 72.89 ;22898239
Pasuruan;ID3514;2020;112.8582;-7.786;9.26;7.4;10164;68.6;70.23;7.97;80.03;97.21; 6.24 ; 67.67 ;103152797
Sidoarjo;ID3515;2020;112.6675;-7.4726;5.59;10.5;14458;80.29;74.04;10.65;95.52;99.06; 10.97 ; 67.17 ;135305323
Mojokerto;ID3516;2020;112.4351;-7.4699;10.57;8.51;12779;73.83;72.53;8.89;91.02;99.20; 5.75 ; 69.79 ;57818423
Jombang;ID3517;2020;112.2861;-7.5741;9.94;8.54;11261;72.97;72.4;8.67;88.98;99.37; 7.48 ; 70.23 ;27657585
Nganjuk;ID3518;2020;111.9046;-7.5944;11.62;7.64;12130;71.72;71.54;8.13;85.75;99.45; 4.80 ; 65.75 ;17990365
Madiun;ID3519;2020;111.6184;-7.6093;11.46;7.81;11574;71.73;71.38;8.12;91.92;97.83; 4.80 ; 71.42 ;12939584
Magetan;ID3520;2020;111.356;-7.6433;10.35;8.24;11776;73.92;72.59;8.65;88.65;99.46; 3.74 ; 73.23 ;13020891
Ngawi;ID3521;2020;111.3322;-7.461;15.44;7.06;11418;70.54;72.3;7.62;83.67;99.49; 5.44 ; 72.69 ;13479742
Bojonegoro;ID3522;2020;111.7615;-7.3175;12.87;7.33;10121;69.04;71.56;7.85;89.02;96.94; 4.92 ; 74.60 ;69703421
Tuban;ID3523;2020;112.0298;-6.8955;15.91;6.95;10238;68.4;71.43;7.50;79.03;97.58; 4.81 ; 71.84 ;42705013
Lamongan;ID3524;2020;112.3338;-7.1269;13.85;7.92;11456;72.58;72.4;8.43;92.23;92.18; 5.13 ; 70.81 ;26972650
Gresik;ID3525;2020;112.5722;-7.155;12.4;9.3;13246;76.11;72.66;9.61;96.90;94.63; 8.21 ; 66.53 ;97616602
Bangkalan;ID3526;2020;112.9137;-7.0384;20.56;5.95;8610;64.11;70.18;6.92;56.18;93.92; 8.77 ; 67.00 ;17514617
Sampang;ID3527;2020;113.2394;-7.0402;22.78;4.85;8739;62.7;68.03;6.19;81.85;89.89; 3.35 ; 69.93 ;13953737
Pamekasan;ID3528;2020;113.5252;-7.1051;14.6;6.69;8739;66.26;67.58;7.65;68.25;90.49; 3.49 ; 69.82 ;11117620
Sumenep;ID3529;2020;113.9061;-6.9254;20.18;5.71;8888;66.43;71.41;6.70;64.74;97.82; 2.84 ; 75.02 ;23546509
Kota Kediri;ID3571;2020;112.0178;-7.848;7.69;9.93;12239;78.23;74.02;10.13;95.40;99.67; 6.21 ; 66.00 ;84374979
Kota Blitar;ID3572;2020;112.1609;-8.0955;7.78;10.11;13733;78.57;73.75;9.75;96.67;98.37; 6.68 ; 69.53 ;4722554
Kota Malang;ID3573;2020;112.6326;-7.9666;4.44;10.18;16593;81.45;73.27;10.63;83.25;99.89; 9.61 ; 66.41 ;51154531
Kota Probolinggo;ID3574;2020;113.2037;-7.7764;7.43;8.7;12180;73.27;70.29;8.83;88.45;100.00; 6.70 ; 69.07 ;8035267
Kota Pasuruan;ID3575;2020;112.8999;-7.6469;6.66;9.12;13281;75.26;71.52;9.07;90.02;99.72; 6.33 ; 70.05 ;5706597
Kota Mojokerto;ID3576;2020;112.4401;-7.4705;6.24;10.25;13499;78.04;73.32;10.00;94.48;100.00; 6.74 ; 68.21 ;4801464
Kota Madiun;ID3577;2020;111.53;-7.6311;4.98;11.14;16018;80.91;72.81;10.25;98.71;99.83; 8.32 ; 68.63 ;10262445
Kota Surabaya;ID3578;2020;112.7521;-7.2575;5.02;10.49;17755;82.23;74.18;10.48;91.84;98.74; 9.79 ; 68.05 ;390936425
Kota Batu;ID3579;2020;112.5334;-7.8831;3.89;9.07;12824;75.9;72.61;9.01;93.20;99.02; 5.93 ; 72.33 ;11025814
Pandeglang;ID3601;2020;105.6882;-6.7483;9.92;7.1;8572;65;64.66;7.65;50.15;75.83; 9.15 ; 60.28 ;19541488
Lebak;ID3602;2020;106.2522;-6.5644;9.24;6.4;8690;63.91;67.21;7.00;63.35;73.49; 9.63 ; 69.97 ;20610989
Tangerang;ID3603;2020;106.4877;-6.1872;6.23;8.39;12203;71.92;69.89;8.87;82.23;98.48; 13.06 ; 65.43 ;93482489
Serang;ID3604;2020;106.0405;-6.1397;4.94;7.5;10665;66.7;64.64;8.14;77.57;89.95; 12.22 ; 63.46 ;53055563
Kota Tangerang;ID3671;2020;106.6527;-6.2024;5.22;10.69;14484;78.25;71.6;10.75;95.10;98.37; 8.63 ; 64.97 ;102898229
Kota Cilegon;ID3672;2020;106.0111;-6.0025;3.69;9.87;13010;73.05;66.67;10.11;94.38;94.98; 12.69 ; 61.83 ;73534471
Kota Serang;ID3673;2020;106.164;-6.1104;6.06;8.76;13212;72.16;68;9.31;87.34;99.10; 9.26 ; 63.79 ;22517969
Kota Tangerang Selatan;ID3674;2020;106.7113;-6.2835;2.29;11.81;15667;81.36;72.47;11.08;97.45;99.08; 8.48 ; 62.49 ;59525500
Kep. Seribu;ID3101;2021;106.5071982;-5.7985266;15.06;8.81;12587;72.1;68.99;9.23;83.75;94.22;8.58; 65.45 ;3649179
Kota Jakarta Selatan;ID3171;2021;106.807915;-6.262654;3.56;11.64;23888;84.9;74.2;11.58;96.51;99.96;7.33; 61.44 ;429398830
Kota Jakarta Timur;ID3172;2021;106.899527;-6.224886;4.28;11.67;17733;82.97;74.54;11.46;96.73;99.58;8.23; 60.85 ;313842135
Kota Jakarta Pusat;ID3173;2021;106.827915;-6.180105;4.94;11.39;17365;81.56;74.19;11.35;89.56;100.00;7.75; 63.17 ;460081046
Kota Jakarta Barat;ID3174;2021;106.76334;-6.167484;4.31;10.78;20801;81.76;73.69;10.87;97.75;100.00;9.06; 63.21 ;327622101
Kota Jakarta Utara;ID3175;2021;106.89255;-6.155492;7.24;10.81;18762;80.51;73.35;10.75;90.61;100.00;9.84; 65.79 ;330894597
Bogor;ID3201;2021;106.6291;-6.5518;8.13;8.31;10410;70.6;71.36;8.74;63.91;91.83;12.22; 62.55 ;159582645
Sukabumi;ID3202;2021;106.9536;-6.8649;7.7;7.1;8850;67.07;71.21;7.71;64.35;81.34;9.51; 64.93 ;47933519
Cianjur;ID3203;2021;107.1957;-7.358;11.18;7.19;8052;65.56;70.32;7.30;58.52;86.25;9.32; 67.98 ;32897517
Bandung;ID3204;2021;107.6215;-7.1341;7.15;9.07;10307;72.73;73.72;9.40;64.51;99.07;8.32; 65.12 ;83947149
Garut;ID3205;2021;107.7636;-7.5012;10.65;7.53;7961;66.45;71.59;7.96;43.73;77.35;8.68; 62.76 ;39981191
Tasikmalaya;ID3206;2021;108.1429;-7.6513;11.15;7.48;7829;65.9;69.67;7.93;49.35;85.26;6.16; 68.18 ;25179475
Ciamis;ID3207;2021;108.3493;-7.3321;7.97;7.9;9259;70.93;72.02;8.28;66.59;90.12;5.06; 69.83 ;22774934
Kuningan;ID3208;2021;108.5701;-7.0138;13.1;7.8;9409;69.71;73.78;8.26;80.98;94.40;11.68; 63.82 ;17483024
Cirebon;ID3209;2021;108.4751;-6.6899;12.3;7.1;10368;69.12;72.18;7.96;83.41;96.54;10.38; 64.49 ;34128554
Majalengka;ID3210;2021;108.2852;-6.7791;12.33;7.31;9591;67.81;70.46;7.84;80.59;96.80;5.71; 67.63 ;22788754
Sumedang;ID3211;2021;107.9532;-6.8329;10.71;8.52;10262;71.8;72.62;8.76;87.87;94.16;9.18; 68.51 ;24414663
Indramayu;ID3212;2021;108.3258;-6.3373;13.04;6.52;9810;67.64;71.84;7.38;89.75;97.95;8.30; 69.86 ;59544866
Subang;ID3213;2021;107.7636;-6.3488;10.03;7.11;10854;69.13;72.58;7.57;85.82;98.75;9.77; 67.78 ;29023194
Purwakarta;ID3214;2021;107.4322;-6.5649;8.83;8.1;11669;70.98;71.18;8.43;72.61;81.50;10.70; 61.13 ;46840149
Karawang;ID3215;2021;107.3376;-6.3227;8.95;7.78;11522;70.94;72.33;8.04;77.19;96.63;11.83; 64.19 ;166941492
Bekasi;ID3216;2021;107.1485;-6.2474;5.21;9.3;11341;74.45;73.81;9.72;81.02;95.02;10.09; 65.87 ;251828575
Kab Bandung Barat;ID3217;2021;107.492;-6.8652;11.3;8.2;8546;68.29;72.52;8.40;63.78;92.47;11.65; 60.75 ;31701786
Kota Bogor;ID3271;2021;106.806;-6.5971;7.24;10.53;11716;76.59;73.82;10.90;75.35;98.14;11.79; 61.77 ;33372476
Kota Sukabumi;ID3272;2021;106.93;-6.9277;8.25;9.81;10942;74.6;72.58;10.26;39.64;98.37;10.78; 56.86 ;8851051
Kota Bandung;ID3273;2021;107.6191;-6.9175;4.37;10.99;16996;81.96;74.46;11.33;48.90;99.51;11.46; 65.31 ;200414035
Kota Cirebon;ID3274;2021;108.5523;-6.732;10.03;10.12;11810;75.25;72.44;10.42;92.71;99.34;10.53; 62.87 ;17154552
Kota Bekasi;ID3275;2021;106.9756;-6.2383;4.74;11.31;15903;81.95;75.19;11.63;97.54;100.00;10.88; 64.76 ;69796936
Kota Depok;ID3276;2021;106.7942;-6.4025;2.58;11.46;15420;81.37;74.62;11.50;97.06;99.52;9.76; 62.62 ;49946927
Kota Cimahi;ID3277;2021;107.5413;-6.8841;5.35;11.08;12019;78.06;74.21;11.15;78.67;97.93;13.07; 61.79 ;23275779
Kota Tasikmalaya;ID3278;2021;108.2172;-7.3506;13.13;9.52;10213;73.31;72.34;9.77;52.62;94.40;7.66; 65.75 ;15981251
Kota Banjar;ID3279;2021;108.5342;-7.3707;7.11;8.77;10476;71.92;71.19;9.08;81.92;97.21;6.09; 64.07 ;3364261
Cilacap;ID3301;2021;108.9027;-7.6178;11.67;7.09;10534;70.42;73.9;7.62;76.42;93.37;9.97; 62.91 ;91944588
Banyumas;ID3302;2021;109.1404;-7.4832;13.66;7.63;11546;72.44;73.8;8.15;79.97;91.49;6.05; 65.07 ;40686808
Purbalingga;ID3303;2021;109.4259;-7.3059;16.24;7.25;10032;69.15;73.21;7.64;76.33;85.18;6.05; 69.52 ;17731438
Banjarnegara;ID3304;2021;109.6163;-7.3794;16.23;6.75;9407;67.86;74.28;7.16;40.75;82.61;5.86; 69.76 ;15536478
Kebumen;ID3305;2021;109.6525;-7.6681;17.83;7.55;9028;70.05;73.55;7.74;88.99;86.36;6.03; 67.76 ;20253059
Purworejo;ID3306;2021;109.9989;-7.6965;12.4;8.21;10275;72.98;74.87;8.60;79.81;85.99;3.59; 73.29 ;13582556
Wonosobo;ID3307;2021;109.9002;-7.3632;17.67;6.82;10760;68.43;71.94;7.20;53.27;95.64;5.26; 70.77 ;14064765
Magelang;ID3308;2021;110.2832;-7.4305;11.91;7.79;9440;70.12;73.88;8.05;78.40;94.14;5.03; 75.78 ;23661713
Boyolali;ID3309;2021;110.6884;-7.4318;10.62;7.85;13031;74.4;76.03;8.29;87.72;93.42;5.09; 75.79 ;23447366
Klaten;ID3310;2021;110.6646;-7.6579;13.49;8.81;12017;76.12;76.86;9.39;95.37;97.84;5.48; 66.89 ;28531109
Sukoharjo;ID3311;2021;110.8553;-7.6484;8.23;9.35;11428;77.13;77.73;9.71;94.27;98.01;3.32; 68.78 ;27634118
Wonogiri;ID3312;2021;111.046;-7.8846;11.55;7.34;9429;70.49;76.28;7.66;92.97;98.82;2.43; 73.09 ;21251004
Karanganyar;ID3313;2021;111.046;-7.6387;10.68;8.57;11509;75.99;77.55;8.98;95.38;98.65;5.89; 73.15 ;27034108
Sragen;ID3314;2021;111.0092;-7.4303;13.83;7.66;12679;74.08;75.79;7.99;89.89;98.33;4.76; 71.74 ;27355146
Grobogan;ID3315;2021;110.9507;-7.1542;12.74;7.11;10294;70.41;74.84;7.74;89.37;76.14;4.38; 72.88 ;20115534
Blora;ID3316;2021;111.3799;-7.0122;12.39;6.99;9669;69.37;74.51;7.55;90.51;94.84;3.81; 70.54 ;18126447
Rembang;ID3317;2021;111.4276;-6.8082;15.8;7.3;10519;70.43;74.61;7.92;89.94;95.36;3.67; 70.67 ;13925516
Pati;ID3318;2021;111.046;-6.745;10.21;7.48;10506;72.28;76.27;8.02;91.67;99.72;4.60; 68.99 ;31559079
Kudus;ID3319;2021;110.8791;-6.7726;7.6;8.76;11272;75.16;76.68;9.18;93.80;98.90;3.77; 74.77 ;69556928
Jepara;ID3320;2021;110.6787;-6.5827;7.44;7.79;10536;72.36;75.91;8.38;66.59;81.48;4.23; 69.55 ;21944232
Demak;ID3321;2021;110.6646;-6.9239;12.92;7.86;10248;72.57;75.46;8.54;91.38;96.71;5.28; 66.23 ;18856416
Semarang;ID3322;2021;110.4739;-7.1765;7.82;8.03;12070;74.24;75.79;8.55;91.01;98.25;5.02; 74.10 ;35946100
Temanggung;ID3323;2021;110.0892;-7.2749;10.17;7.25;9408;69.88;75.64;7.64;68.05;91.87;2.62; 74.01 ;15387930
Kendal;ID3324;2021;110.1879;-7.0265;10.24;7.46;11608;72.5;74.48;8.00;83.81;92.65;7.55; 69.93 ;31632276
Batang;ID3325;2021;109.9021;-7.0392;9.68;6.88;9524;68.92;74.74;7.41;66.96;98.38;6.59; 71.40 ;15764266
Pekalongan;ID3326;2021;109.6163;-7.0517;10.57;7.17;10409;70.11;73.74;7.78;78.57;96.20;4.28; 71.46 ;16615066
Pemalang;ID3327;2021;109.4259;-7.0599;16.56;6.45;8573;66.56;73.53;7.11;77.89;95.14;6.71; 65.90 ;18916262
Tegal;ID3328;2021;109.1048;-6.8588;8.6;6.99;9700;68.79;71.72;7.60;84.23;98.87;9.97; 66.24 ;25402911
Brebes;ID3329;2021;108.9027;-6.9592;17.43;6.22;10152;66.32;69.54;6.82;80.10;92.60;9.78; 63.97 ;33456328
Kota Magelang;ID3371;2021;110.2177;-7.4797;7.75;10.62;12349;79.43;76.93;11.05;84.04;100.00;8.73; 67.07 ;6513895
Kota Surakarta;ID3372;2021;110.8243;-7.5755;9.4;10.9;14911;82.62;77.32;11.31;88.73;99.82;7.85; 66.89 ;36211248
Kota Salatiga;ID3373;2021;110.5084;-7.3305;5.14;10.66;15843;83.6;77.55;11.01;98.07;98.78;7.26; 70.36 ;9820287
Kota Semarang;ID3374;2021;110.4381;-7.0051;4.56;10.78;15425;83.55;77.51;11.16;93.67;98.42;9.54; 69.41 ;144710663
Kota Pekalongan;ID3375;2021;109.6746;-6.8898;7.59;9.18;12598;75.4;74.44;9.77;94.62;99.28;6.89; 75.77 ;7601486
Kota Tegal;ID3376;2021;109.1256;-6.8797;8.12;8.73;13143;75.52;74.54;9.29;92.77;100.00;8.25; 68.25 ;11290269
Kulon Progo;ID3401;2021;110.1641;-7.8267;18.38;9.02;10069;74.71;75.27;9.32;95.95;89.33;3.69; 76.72 ;8778800
Bantul;ID3402;2021;110.3785;-7.919;14.04;9.57;15545;80.28;73.89;9.91;96.20;96.11;4.04; 71.64 ;19773332
Gunung Kidul;ID3403;2021;110.6169;-8.0305;17.69;7.3;9505;70.16;74.19;7.75;96.00;94.70;2.20; 75.99 ;14216362
Sleman;ID3404;2021;110.4024;-7.7325;8.64;10.92;16060;84;74.92;11.13;98.41;96.26;5.17; 73.05 ;35786977
Kota Yogyakarta;ID3471;2021;110.3695;-7.7956;7.69;11.72;18801;87.18;74.76;11.90;98.17;100.00;9.13; 71.86 ;28390085
Pacitan;ID3501;2021;111.1414;-8.1263;15.11;7.61;8887;68.57;72.07;7.82;71.70;76.71;2.04; 80.57 ;11107402
Ponorogo;ID3502;2021;111.4696;-7.8651;10.26;7.55;9851;71.06;72.85;7.93;87.49;96.30;4.38; 72.63 ;14619969
Trenggalek;ID3503;2021;111.6184;-8.1824;12.14;7.56;9743;70.06;73.86;7.97;75.48;75.78;3.53; 72.36 ;12959018
Tulungagung;ID3504;2021;111.9642;-8.0912;7.51;8.34;10807;73.15;74.16;8.65;85.37;97.40;4.91; 72.26 ;27390424
Blitar;ID3505;2021;112.1609;-8.0955;9.65;7.50;10757;71.05;73.61;7.96;75.67;93.33;3.66; 70.44 ;25700019
Kediri;ID3506;2021;112.1907;-7.8232;11.64;8.08;11127;72.56;72.65;8.50;86.92;96.35;5.15; 69.34 ;29361672
Malang;ID3507;2021;112.7152;-8.2422;10.5;7.43;10163;70.6;72.61;7.84;80.79;94.14;5.40; 68.49 ;68619103
Lumajang;ID3508;2021;113.1442;-8.0944;10.05;6.67;9203;66.07;70.21;7.65;83.24;95.73;3.51; 66.19 ;22623402
Jember;ID3509;2021;113.6681;-8.1845;10.41;6.49;9410;67.32;69.28;6.78;64.17;94.35;5.44; 68.97 ;54688719
Banyuwangi;ID3510;2021;114.3691;-8.2191;8.07;7.42;12217;71.38;70.72;7.94;81.15;94.16;5.42; 72.32 ;55471065
Bondowoso;ID3511;2021;113.9061;-7.9674;14.73;5.94;10690;66.59;66.89;6.57;52.82;93.44;4.46; 73.89 ;13921654
Situbondo;ID3512;2021;114.1915;-7.7889;12.63;6.62;9996;67.78;69.24;7.19;59.79;98.88;3.68; 71.63 ;13715834
Probolinggo;ID3513;2021;113.4776;-7.8718;18.91;6.12;10969;66.26;67.36;6.76;62.14;93.18;4.55; 73.24 ;23664388
Pasuruan;ID3514;2021;112.8582;-7.786;9.7;7.41;10297;68.93;70.25;7.61;82.92;97.36;6.03; 69.03 ;107630268
Sidoarjo;ID3515;2021;112.6675;-7.4726;5.93;10.72;14578;80.65;74.06;10.83;95.05;96.82;10.87; 66.47 ;141000359
Mojokerto;ID3516;2021;112.4351;-7.4699;10.62;8.64;12844;74.15;72.59;9.06;87.34;98.37;5.54; 70.47 ;60198699
Jombang;ID3517;2021;112.2861;-7.5741;10;8.55;11394;73.45;72.49;8.84;90.95;99.44;7.09; 70.69 ;28553448
Nganjuk;ID3518;2021;111.9046;-7.5944;11.85;7.78;12172;71.97;71.6;8.22;81.84;99.03;4.98; 64.24 ;18640685
Madiun;ID3519;2021;111.6184;-7.6093;11.91;7.82;11658;71.88;71.5;8.03;89.09;95.10;4.99; 67.77 ;13372330
Magetan;ID3520;2021;111.356;-7.6433;10.66;8.36;11833;74.15;72.65;8.69;88.40;99.90;3.86; 73.31 ;13417032
Ngawi;ID3521;2021;111.3322;-7.461;15.57;7.26;11459;71.04;72.41;7.97;79.35;99.92;4.25; 72.88 ;13823456
Bojonegoro;ID3522;2021;111.7615;-7.3175;13.27;7.38;10221;69.59;71.72;7.93;90.96;97.24;4.82; 71.84 ;65839509
Tuban;ID3523;2021;112.0298;-6.8955;16.31;7.18;10380;68.91;71.56;7.94;83.80;96.40;4.68; 73.77 ;43984689
Lamongan;ID3524;2021;112.3338;-7.1269;13.86;8.04;11510;73.12;72.49;8.50;89.70;81.98;4.90; 70.72 ;27896543
Gresik;ID3525;2021;112.5722;-7.155;12.42;9.56;13280;76.5;72.67;9.86;91.56;88.99;8.00; 69.43 ;101318686
Bangkalan;ID3526;2021;112.9137;-7.0384;21.57;5.96;8673;64.36;70.22;6.66;39.44;97.39;8.07; 68.66 ;17152779
Sampang;ID3527;2021;113.2394;-7.0402;23.76;4.86;8790;62.8;68.07;5.91;76.22;89.34;3.45; 70.19 ;13984568
Pamekasan;ID3528;2021;113.5252;-7.1051;15.3;6.70;8804;66.4;67.67;7.58;70.85;89.15;3.10; 65.88 ;11496236
Sumenep;ID3529;2021;113.9061;-6.9254;20.51;5.92;9000;67.04;71.56;6.84;65.66;98.29;2.31; 75.63 ;24161351
Kota Kediri;ID3571;2021;112.0178;-7.848;7.75;10.15;12359;78.6;74.04;11.21;95.75;98.95;6.37; 67.35 ;86485594
Kota Blitar;ID3572;2021;112.1609;-8.0955;7.89;10.35;13816;78.98;73.86;10.98;96.77;97.08;6.61; 69.96 ;4924572
Kota Malang;ID3573;2021;112.6326;-7.9666;4.62;10.41;16663;82.04;73.36;11.05;87.08;99.93;9.65; 67.59 ;53309702
Kota Probolinggo;ID3574;2021;113.2037;-7.7764;7.44;8.95;12245;73.66;70.35;9.75;89.77;99.66;6.55; 69.71 ;8361142
Kota Pasuruan;ID3575;2021;112.8999;-7.6469;6.88;9.33;13354;75.62;71.6;10.20;92.10;99.65;6.23; 71.66 ;5914585
Kota Mojokerto;ID3576;2021;112.4401;-7.4705;6.39;10.47;13610;78.43;73.39;11.10;95.49;99.63;6.87; 67.09 ;4976490
Kota Madiun;ID3577;2021;111.53;-7.6311;5.09;11.37;16095;81.25;72.83;11.93;97.31;99.53;8.15; 66.87 ;10748101
Kota Surabaya;ID3578;2021;112.7521;-7.2575;5.23;10.50;17862;82.31;74.18;10.52;95.20;98.06;9.68; 67.30 ;407726799
Kota Batu;ID3579;2021;112.5334;-7.8831;4.09;9.31;12887;76.28;72.65;9.90;95.57;100.00;6.57; 73.74 ;11471435
Pandeglang;ID3601;2021;105.6882;-6.7483;10.72;7.11;8635;65.17;64.79;7.15;49.11;82.01;7.70; 62.32 ;20127757
Lebak;ID3602;2021;106.2522;-6.5644;10.29;6.41;8724;64.03;67.33;6.80;56.82;73.32;7.86; 66.75 ;21245043
Tangerang;ID3603;2021;106.4877;-6.1872;7.12;8.61;12273;72.29;69.93;9.23;85.89;97.97;9.06; 63.94 ;97809902
Serang;ID3604;2021;106.0405;-6.1397;5.49;7.51;10713;66.82;64.76;7.86;80.34;92.33;10.58; 63.86 ;54992522
Kota Tangerang;ID3671;2021;106.6527;-6.2024;5.93;10.83;14575;78.5;71.6;10.91;94.94;98.00;9.07; 64.52 ;106705227
Kota Cilegon;ID3672;2021;106.0111;-6.0025;4.24;10.08;13041;73.35;66.69;10.35;97.07;98.72;10.13; 61.37 ;77071368
Kota Serang;ID3673;2021;106.164;-6.1104;6.79;8.89;13281;72.44;68.12;9.31;90.76;98.38;9.41; 62.16 ;23374085
Kota Tangerang Selatan;ID3674;2021;106.7113;-6.2835;2.57;11.82;15751;81.6;72.47;11.35;98.84;99.22;8.60; 62.56 ;62364158
